Component_ID,Component_Name,Your_Rating,Reason
component_01,UnthemedLogs,Major Issues,"1200+ lines, 15+ hooks, way too much happening"
component_02,Login,Major Issues,"850+ lines, 12+ hooks, tangled logic with inline functions everywhere"
component_03,TableNG,Major Issues,"1000 lines, 15+ hooks, deeply nested JSX, performance already struggling"
component_04,Signup,Major Issues,"765 lines, 10+ hooks, form logic mixed with UI"
component_05,LogsPanel,Major Issues,"900 lines, 12+ hooks, doing way too much"
component_06,QueryAndExpressionsStep,Minor Issues,"250 lines, getting chunky but manageable"
component_07,ConfigEditor,Clean,"200 lines, reasonable hooks, pretty solid"
component_08,PostComponent,Major Issues,"400+ lines, 10+ hooks, too many responsibilities"
component_09,RulesFilter_v2,Minor Issues,"300 lines, on the edge but okay"
component_10,ToolbarActions,Clean,"150 lines, straightforward, no complaints"
component_11,MultiCombobox,Minor Issues,"280 lines, complex but expected for combobox"
component_12,Search,Minor Issues,"250 lines, not too bad for search component"
component_13,AdvanceTextEditor,Major Issues,"350+ lines, 8+ hooks, messy state management"
component_14,SelfHostedPurchaseModal,Major Issues,"730+ lines, 10+ hooks, way too much in a modal"
component_15,FlameGraphContainer,Minor Issues,"300 lines, reasonable for flame graph"
component_16,VisualEditor,Major Issues,"400+ lines, 10+ hooks, deeply nested JSX"
component_17,Step2AlertRules,Minor Issues,"320 lines, acceptable for wizard step"
component_18,NavToolbarActions,Clean,"180 lines, clear responsibilities, good"
component_19,UserSelect,Minor Issues,"220 lines, manageable select component"
component_20,Content,Minor Issues,"280 lines, workable"
component_21,DateTimePicker,Minor Issues,"250 lines, typical date picker complexity"
component_22,CustomStatusModal,Minor Issues,"200 lines, standard modal stuff"
component_23,FileAttachment,Minor Issues,"270 lines, on the edge but okay"
component_24,PostList,Major Issues,"450+ lines, 10+ hooks, needs refactoring"
component_25,ConfirmButton,Clean,"100 lines, simple and clear"
component_26,RadialBar,Minor Issues,"200 lines, clean for a chart component"
component_27,DataTableFilter,Minor Issues,"280 lines, filtering logic contained well"
component_28,AnnotationsStep,Minor Issues,"300 lines, acceptable"
component_29,FlameGraphCanvas,Major Issues,"500+ lines, 10+ hooks, tangled rendering logic"
component_30,PropsTable,Minor Issues,"250 lines, straightforward"
