ID,Component Name,Repository,Pattern,Severity,Metrics,File Path,Confidence,Validation Result,Review 1  Rating,Review 1  Notes,Reviewer 2 Rating,Reviewer 2  Notes
1,UnthemedLogs,Grafana,God Component,Extreme,"LOC=1031, JSX=51, Hooks=9",public/app/features/explore/Logs/Logs.tsx,95%,,Major Issues,"1200+ lines, Way too much happening",Major,Sp much going on here
2,Login,Mattermost,God Component,Extreme,"LOC=783, JSX=35, Hooks=9",components/login/login.tsx,90%,,Major Issues,Tangled logic with inline functions everywhere,Minor,Throttle handler leaks every render
3,TableNG,Grafana,God Component,Extreme,"LOC=826, JSX=20, Hooks=16",packages/grafana-ui/src/components/Table/TableNG/TableNG.tsx,95%,,Major Issues,"Deeply nested JSX, performance already struggling",Major,200-line function inside a function
4,Signup,Mattermost,God Component,Extreme,"LOC=700, JSX=39, Hooks=9",components/signup/signup.tsx,90%,,Major Issues,Form logic mixed with UI,Minor,Same mess as Login tbh
5,LogsPanel,Grafana,God Component,Extreme,"LOC=616, JSX=15, Hooks=9",public/app/plugins/panel/logs/LogsPanel.tsx,85%,,Major Issues,Doing way too much,Major,Three viewers jammed into one
6,QueryAndExpressionsStep,Grafana,God Component,Extreme,"LOC=591, JSX=41, Hooks=11",public/app/features/alerting/unified/components/rule-editor/query-and-alert-condition/QueryAndExpressionsStep.tsx,95%,,Minor Issues,Getting chunky but manageable,Minor,Callback does way too much
7,ConfigEditor,Grafana,Prop Drilling,Extreme,"options passed 14×, onOptionsChange passed 12×",Data source config editor,90%,,Clean,"Reasonable hooks, pretty solid",Clean,Honestly this one is great
8,PostComponent,Mattermost,God Component,Extreme,"LOC=503, JSX=45, Hooks=5",components/post/post_component.tsx,85%,,Major Issues,Too many responsibilities,Minor,Helper functions not memoized properly
9,RulesFilter.v2,Grafana,Inline Function,Extreme,24 inline functions,public/app/features/alerting/unified/rule-list/filter/RulesFilter.v2.tsx,95%,,Minor Issues,On the edge but okay,Clean,"Clean, nothing to complain about"
10,ToolbarActions,Grafana,God Component,Extreme,"LOC=533, JSX=54, Hooks=5",public/app/features/dashboard-scene/scene/NavToolbarActions.tsx,90%,,Clean,Straightforward,Minor,Too many push() calls inline
11,MultiCombobox,Grafana,God Component,Severe,"LOC=331, JSX=19, Hooks=10",packages/grafana-ui/src/components/Combobox/MultiCombobox.tsx,100%,,Minor Issues,Complex but expected for combobox,Minor,activeIndex -999 hack is sketchy
12,Search,Mattermost,God Component,Severe,"LOC=475, JSX=19, Hooks=5",components/search/search.tsx,85%,,Minor Issues,Not too bad for search component,Minor,Render methods should be components
13,AdvanceTextEditor,Mattermost,God Component,Severe,"LOC=448, JSX=28, Hooks=5",components/advanced_text_editor/advanced_text_editor.tsx,75%,,Major Issues,Messy state management,Minor,getEmojiPickerRef is pointless wrapper
14,SelfHostedPurchaseModal,Mattermost,God Component,Severe,"LOC=448, JSX=43, Hooks=11",components/self_hosted_purchase_modal.tsx,90%,,Major Issues,Way too much in a modal,Minor,submit() recreated every single render
